nome,cpf,idade,data,endereco,estado
Juan Carvalho,745.691.802-30,36,1988-04-13,"setor costa, 9
vila santa monica 1ª seção
01080-030 sá do campo / sp",MATO GROSSO
Gabriela Andrade,702.154.983-05,28,1995-12-09,"colônia de da cruz, 76
cidade jardim
58564505 castro da serra / ce",CEARÁ
Ana Lívia Vargas,815.972.430-60,27,1996-09-09,"ladeira de lopes, 492
centro
66591284 guerra de costela / ro",SANTA CATARINA
Dr. Isaac Caldeira,150.623.897-12,30,1994-07-07,"parque aparecida, 656
vila cloris
43759727 pereira / am",AMAZONAS
Mirella Montenegro,612.380.475-80,56,1968-06-04,"praça emanuella abreu, 7
guaratã
73354630 santos da praia / al",MARANHÃO
Srta. Esther Borges,376.410.859-20,38,1986-02-17,"viela de peixoto, 36
vila antena
37923-224 jesus de alves / pe",ESPÍRITO SANTO
Asafe Oliveira,670.258.314-17,47,1976-10-19,"fazenda de siqueira, 84
acaiaca
89128278 farias do norte / ap",ESPÍRITO SANTO
Isaac Vieira,903.512.487-14,52,1971-09-22,Endereço não informado,Desconhecido
Camila Brito,102.745.983-88,43,1980-09-11,"praia azevedo, 21
horto
07433368 sampaio das pedras / ce",MARANHÃO
Davi Lucca Nogueira,714.235.690-16,51,1972-11-09,"trecho de mendonça
frei leopoldo
75428-277 costa das pedras / mt",MARANHÃO
Nina Lopes,409.712.638-50,22,2002-01-05,"esplanada de da mota, 69
maria helena
96418-489 correia / df",CEARÁ
Eduardo Aparecida,032.619.574-25,49,1975-07-11,"residencial isis câmara, 46
vila jardim montanhes
36870-447 fonseca alegre / to",SANTA CATARINA
João Guilherme Câmara,914.036.528-05,43,1980-10-24,"núcleo bárbara guerra, 55
minaslandia
42632614 alves / df",PARÁ
Lucas Gabriel Barros,409.187.652-85,36,1987-11-30,"campo de da luz
grota
20833-633 costela / ac",RIO DE JANEIRO
Anthony Monteiro,832.459.710-79,55,1968-09-18,"praça théo da rocha, 9
capitão eduardo
57490-199 siqueira de correia / pe",PARÁ
Srta. Anna Liz Rios,903.615.472-34,60,1964-07-31,"fazenda siqueira
grajaú
49518-607 rocha / ms",SANTA CATARINA
Guilherme Pastor,794.253.081-79,28,1995-08-20,"via de castro, 99
juliana
59406473 moura das pedras / al",MARANHÃO
Pedro Miguel Casa Grande,243.091.857-97,25,1998-12-25,"fazenda de da rocha, 57
são sebastião
73538823 costa de câmara / mg",PIAUÍ
Sra. Sara Teixeira,306.258.491-24,54,1970-06-21,"morro correia, 475
parque são josé
45950853 silva / pr",SANTA CATARINA
Davi Lucca Monteiro,348.619.257-46,22,2002-02-21,"morro isabela sá, 2
vila minaslandia
60585263 dias de mendes / pr",AMAZONAS
Kaique Pinto,614.078.923-04,33,1991-08-11,"sítio da cunha, 42
lajedo
93075-316 teixeira / al",ALAGOAS
Maria Sophia Dias,265.714.890-58,37,1986-09-29,"passarela novais, 76
boa esperança
63672212 gonçalves / sp",SÃO PAULO
Fernando Da Costa,568.042.391-05,31,1993-05-20,"feira sofia ramos, 961
grotinha
02206035 pires / ms",MARANHÃO
Bruna Da Cunha,072.831.456-80,46,1978-03-16,"recanto de porto, 1
paulo vi
07909386 duarte do norte / es",DISTRITO FEDERAL
Letícia Azevedo,580.412.736-53,29,1995-02-18,"viaduto andrade, 69
engenho nogueira
16580-651 da rosa / rn",MINAS GERAIS
Ana Júlia Da Cruz,543.069.718-48,44,1980-04-21,"parque souza, 3
sion
39337-305 siqueira / sp",BAHIA
Isabelly Rios,216.057.834-71,18,2006-04-12,"residencial de machado, 7
são cristóvão
38815-631 carvalho das flores / to",SANTA CATARINA
João Pedro Da Mota,937.580.261-21,25,1998-08-24,"rua yasmin gomes, 10
dom joaquim
67863396 da rocha / mt",RIO GRANDE DO NORTE
Júlia Azevedo,972.146.358-28,30,1994-06-21,"vereda maya cirino, 23
vila aeroporto
02537-049 da cunha / ba",SANTA CATARINA
Clara Correia,019.482.357-14,55,1969-04-11,"área theo pimenta, 3
ipiranga
29682-780 gonçalves dos dourados / sc",SÃO PAULO
Josué Mendonça,062.943.157-43,50,1973-11-06,"ladeira moura
ermelinda
59300228 vasconcelos / se",RIO GRANDE DO SUL
Dr. Nicolas Machado,125.478.039-41,49,1974-10-01,"trecho maria sophia porto
caiçaras
96527819 vargas do oeste / rn",SERGIPE
Dr. Gael Henrique Castro,654.723.918-73,36,1988-03-23,"lago aragão
teixeira dias
80241826 da mata das flores / se",BAHIA
Melissa Correia,543.687.120-80,21,2002-12-08,"largo oliver peixoto, 639
pindura saia
58462042 nogueira / rs",MINAS GERAIS
Anthony Gabriel Pastor,258.093.146-51,56,1967-12-08,"residencial maria flor silveira, 746
santa maria
86435012 mendes da prata / pb",PARÁ
Théo Viana,328.950.641-05,54,1969-12-05,"praça de ferreira, 527
vila são gabriel
88509037 aparecida / mg",PIAUÍ
Ana Laura Peixoto,483.691.072-22,30,1994-05-07,"favela leão
novo santa cecilia
79751-653 silva do norte / al",ESPÍRITO SANTO
Matheus Pires,407.652.138-26,28,1996-04-29,"trecho bruno porto, 28
vila novo são lucas
45176-851 silveira paulista / pi",BAHIA
Sr. Mathias Campos,351.402.976-80,41,1983-06-23,"quadra de da costa, 76
vila primeiro de maio
22394-765 barbosa de da mota / rn",RIO DE JANEIRO
Henrique Casa Grande,204.971.538-23,35,1988-10-23,"loteamento hellena pastor, 31
confisco
53526234 ribeiro da prata / ba",BAHIA
Sr. Paulo Fogaça,361.204.895-33,59,1965-06-16,"trevo vinícius da luz
heliopolis
94972-832 novaes / ap",MINAS GERAIS
Ana Julia Peixoto,092.871.536-12,58,1965-10-19,"quadra de da paz, 59
buraco quente
71105443 das neves / rn",DISTRITO FEDERAL
Isis Oliveira,074.531.968-84,42,1982-02-17,"passarela de câmara, 14
vila satélite
70423553 moraes verde / rs",ACRE
Marcelo Castro,904.862.317-04,46,1978-03-14,"vila diego novais, 8
cruzeiro
85668933 costela das flores / sp",MARANHÃO
Brayan Pires,298.531.047-41,18,2006-01-19,"setor marques, 188
graça
06178-149 mendes / pa",MINAS GERAIS
Hadassa Viana,526.908.173-30,28,1996-07-31,"estação de fonseca
conjunto floramar
51746250 moraes do amparo / rn",SERGIPE
Nina Sousa,371.029.468-13,28,1995-09-21,"setor barros, 2
chácara leonina
92023359 fernandes / pa",MINAS GERAIS
Dra. Melina Fernandes,731.845.926-00,29,1995-02-25,"distrito de castro, 53
havaí
40289-176 ramos / se",ACRE
Maya Casa Grande,875.102.964-20,40,1983-11-14,"aeroporto abreu, 22
vila olhos d'água
99517-521 ramos / ba",RIO GRANDE DO SUL
José Pedro Da Luz,193.045.287-04,48,1975-08-28,"parque de carvalho, 576
mirante
48480-867 lima / mg",GOIÁS
Maria Julia Carvalho,602.549.817-20,31,1993-06-02,"residencial gustavo henrique da mota, 4
saudade
51135026 martins / rs",PIAUÍ
João Gabriel Teixeira,693.452.081-51,56,1968-03-20,"lagoa da mota, 97
nova esperança
32788-886 pacheco / rr",RIO DE JANEIRO
Dr. Leandro Barros,604.572.931-52,19,2005-05-05,"praia cassiano, 24
milionario
26516-901 da paz de minas / mt",AMAPÁ
Srta. Stella Santos,965.014.827-20,35,1989-01-20,"estrada ana liz cirino, 20
heliopolis
26159225 lopes / sc",MINAS GERAIS
Manuela Dias,592.647.813-82,19,2005-01-06,"campo miguel leão, 85
buraco quente
68820735 silveira / mt",TOCANTINS
Henry Gabriel Montenegro,407.852.193-23,56,1968-06-10,"setor de moraes
senhor dos passos
38181-369 albuquerque / pr",SERGIPE
Catarina Da Cunha,130.428.579-05,37,1987-04-15,"núcleo vicente rodrigues, 48
santa monica
11645533 montenegro / rr",MATO GROSSO DO SUL
Julia Fonseca,834.592.170-14,51,1973-03-31,"rodovia casa grande, 3
alto das antenas
80972-966 aparecida / rn",SANTA CATARINA
Luana Nascimento,621.397.584-55,54,1970-07-08,"pátio de cassiano, 77
estrela
89107-013 gonçalves / ro",TOCANTINS
Isabella Novais,703.592.814-60,25,1999-06-18,"distrito nascimento, 3
vila maria
11911-880 gonçalves do campo / ro",PARANÁ
Breno Da Cunha,542.719.836-91,43,1981-01-17,"rodovia da paz, 28
caiçaras
29380-272 fonseca / go",ACRE
Sr. João Gabriel Borges,724.381.059-41,39,1985-03-11,"fazenda manuella pacheco, 84
vila jardim alvorada
86695693 cavalcante / ro",MATO GROSSO
Rafaela Da Conceição,810.692.357-68,47,1976-09-05,"lago leandro rezende, 20
cabana do pai tomás
34725546 sousa / sp",GOIÁS
Vitor Hugo Leão,012.983.657-59,25,1999-06-01,"sítio nicolas souza, 99
vila sumaré
33491109 moreira / se",MINAS GERAIS
Sr. Paulo Cassiano,893.542.607-56,58,1965-09-10,"recanto de porto
lagoa
95877-966 da cruz / ro",RIO DE JANEIRO
Joaquim Porto,786.015.932-59,34,1990-01-22,"vereda de da rosa, 74
vila antena montanhês
53259-536 da conceição do sul / ba",RORAIMA
Pedro Santos,674.295.803-00,34,1989-10-06,"aeroporto de oliveira, 73
flavio marques lisboa
17688451 abreu / am",MARANHÃO
Isabel Cavalcanti,018.674.329-78,26,1998-06-26,"feira de araújo, 27
tres marias
38835-747 silveira / al",ALAGOAS
Gabriel Moraes,385.741.269-00,43,1980-12-22,"esplanada lima, 9
jardim leblon
94178-964 martins / ba",MARANHÃO
Bernardo Da Conceição,786.502.319-77,31,1993-04-15,"condomínio eloah marques, 8
santa monica
79330-061 marques / ro",PIAUÍ
Yasmin Rodrigues,018.253.964-42,53,1971-05-02,"núcleo marcela lima
luxemburgo
35418-818 sá / pb",RIO GRANDE DO NORTE
Marcelo Almeida,486.321.079-50,19,2005-02-18,"chácara de rocha, 675
dona clara
41094714 teixeira de minas / mt",PARAÍBA
Otto Pinto,514.680.372-26,53,1971-04-18,"feira da rocha, 58
universitário
60876-575 cassiano / mt",MARANHÃO
Dr. Dom Sampaio,917.506.483-93,32,1991-09-21,"feira ana vargas, 94
das industrias i
64258-527 da mata / ac",MATO GROSSO
Dr. Anthony Gabriel Carvalho,834.972.016-69,18,2006-05-24,"passarela kamilly pires, 9
grajaú
92842-206 ferreira do sul / ac",PARANÁ
Dr. Liam Martins,541.738.260-44,31,1993-04-07,"recanto novais, 4
bela vitoria
20091-935 leão do galho / df",RIO GRANDE DO SUL
Dr. José Miguel Cunha,820.196.537-02,24,1999-11-28,"colônia de sales
jaraguá
20671352 pinto da prata / pi",PARÁ
Vinícius Costa,925.671.403-52,55,1969-05-26,"aeroporto heloísa lima, 140
maria tereza
73177151 melo do oeste / mt",SERGIPE
Arthur Aragão,397.516.802-12,60,1963-09-22,"área bianca aragão, 9
conjunto lagoa
34815-937 martins da praia / mg",SANTA CATARINA
Zoe Alves,781.629.503-03,43,1981-05-17,Endereço não informado,Desconhecido
Srta. Eloah Monteiro,783.416.502-07,35,1989-01-26,"esplanada de campos, 56
beija flor
62974-891 da cunha verde / rj",ACRE
Maya Sampaio,469.378.021-96,18,2006-01-26,"largo fernandes, 241
são jorge 1ª seção
58251-429 souza alegre / se",MINAS GERAIS
Aylla Fonseca,157.926.038-12,44,1979-12-17,"pátio de pires, 96
aarão reis
71286676 nunes da praia / pi",TOCANTINS
Joana Câmara,102.964.857-30,25,1999-01-17,"avenida matteo vargas, 80
vila madre gertrudes 3ª seção
28562890 gonçalves das flores / se",ACRE
Aylla Das Neves,514.620.879-49,42,1981-11-05,"setor de castro, 63
vila fumec
27084468 moreira / sp",MARANHÃO
Dr. João Miguel Vasconcelos,176.504.382-44,40,1984-02-04,"área noah martins, 749
nazare
24288-964 rodrigues / mt",SERGIPE
Liam Correia,432.018.769-50,49,1974-12-29,"favela de cavalcante, 961
são francisco das chagas
88804432 aparecida de ferreira / ro",PARAÍBA
Melina Castro,249.530.617-99,49,1975-03-20,"distrito peixoto, 3
mirante
45914563 montenegro / pe",RIO DE JANEIRO
Olivia Vieira,607.341.589-39,40,1984-07-26,"pátio de martins, 28
são pedro
36586739 silveira / ap",MARANHÃO
Melissa Gomes,403.198.265-89,60,1964-01-20,"vale de sampaio, 56
vista do sol
34723-080 freitas / pe",ALAGOAS
Ana Júlia Mendonça,532.146.789-73,20,2004-02-29,"vereda luigi costa
olaria
36706391 guerra / pr",ALAGOAS
Liam Fonseca,691.420.875-11,44,1980-03-04,"estação thomas araújo, 4
barreiro
47650632 cunha / ms",MATO GROSSO
Antonella Sá,267.315.940-16,47,1977-07-01,"conjunto rodrigues, 846
leonina
77440227 da cruz do galho / sp",AMAPÁ
Srta. Maria Sophia Cavalcante,803.915.627-03,20,2003-09-25,"praia emanuelly oliveira, 2
glória
39665203 fonseca do norte / ap",RIO GRANDE DO SUL
Mathias Silva,035.647.918-84,53,1971-02-26,"estrada da cruz, 73
flavio marques lisboa
70631181 da rocha do norte / ro",PARANÁ
Sr. Caio Montenegro,507.168.943-00,58,1965-10-07,"aeroporto laís rezende, 113
boa viagem
50093963 fonseca da prata / to",RIO DE JANEIRO
João Pedro Cardoso,924.870.156-67,19,2004-09-05,"loteamento de mendes, 75
jonas veiga
22163032 camargo / ce",ESPÍRITO SANTO
Alícia Da Paz,149.260.753-34,55,1969-07-10,"residencial de das neves, 11
renascença
13123405 moura / ba",ESPÍRITO SANTO
Sr. Nathan Jesus,620.489.751-94,39,1985-04-21,"conjunto nogueira, 24
alípio de melo
58376417 ferreira / go",RORAIMA
Ana Julia Nunes,813.754.629-46,42,1981-12-24,"vereda noah sales, 793
teixeira dias
00124753 moura / al",AMAZONAS
Joaquim Moraes,210.485.679-58,60,1964-07-03,"distrito marcos vinicius lima, 799
vila copacabana
40592-480 da cruz / se",ACRE
Francisco Abreu,318.759.460-39,30,1994-07-04,"estrada de costa, 67
bela vitoria
09245-586 garcia de minas / se",MARANHÃO
Raquel Carvalho,940.631.572-61,52,1972-02-21,"recanto lara andrade, 50
brasil industrial
55952486 brito do galho / to",ESPÍRITO SANTO
Srta. Yasmin Moreira,236.018.754-62,52,1972-06-02,"estação de peixoto, 36
goiania
73572-895 rodrigues / al",AMAPÁ
Dom Aragão,185.390.726-02,29,1994-09-16,"quadra de ribeiro, 51
etelvina carneiro
77653288 araújo da praia / ro",MATO GROSSO
Anthony Gabriel Porto,786.912.435-46,39,1985-05-16,"alameda machado, 46
nossa senhora da conceição
34315308 porto verde / pb",PERNAMBUCO
Kaique Jesus,419.687.325-19,35,1989-06-05,"praça costela, 56
maria tereza
70508-607 rocha / am",SÃO PAULO
Bella Gomes,148.276.095-94,47,1977-06-17,"travessa joão vitor monteiro
coração de jesus
12183105 sampaio das flores / mt",TOCANTINS
Stephany Moreira,912.847.305-14,46,1977-11-29,"colônia de oliveira, 78
universitário
37052-176 melo do oeste / ms",MINAS GERAIS
Dr. Enzo Gabriel Almeida,823.156.740-26,49,1975-02-11,"passarela de câmara, 92
sagrada família
45237-178 novais / am",PIAUÍ
Marcos Vinicius Leão,623.971.485-28,51,1972-09-28,"travessa brayan mendes, 42
luxemburgo
55010-718 melo de moura / ce",PERNAMBUCO
Rafael Pinto,287.053.691-77,41,1983-06-06,"trevo lopes, 53
jardim leblon
69347972 jesus das flores / rj",TOCANTINS
Helena Pereira,318.692.540-15,35,1988-10-09,"alameda cavalcante, 9
etelvina carneiro
42095574 andrade dos dourados / ms",SERGIPE
Theo Casa Grande,540.789.263-47,48,1976-02-11,"via mariane araújo, 74
diamante
10949-616 das neves de das neves / df",TOCANTINS
Vitor Porto,875.316.942-55,46,1978-03-26,"passarela rodrigues, 651
vera cruz
58978691 costela / ce",PERNAMBUCO
Breno Novais,047.639.518-66,50,1973-10-21,"trecho carlos eduardo costa, 421
pompéia
84121-644 campos / ce",RORAIMA
Agatha Da Mata,340.965.712-61,38,1985-10-18,"favela nunes
olaria
17981-925 vargas / se",SERGIPE
Léo Pinto,496.275.831-46,37,1987-03-22,"viaduto helena cavalcanti, 43
granja de freitas
30957598 azevedo / es",RIO GRANDE DO SUL
Maria Vitória Sá,540.891.273-60,49,1975-01-31,"morro de cavalcanti
marajó
76153811 correia / ro",PIAUÍ
Anthony Costa,352.716.840-08,43,1981-06-15,"travessa pereira, 260
novo santa cecilia
52087332 caldeira / ro",PARAÍBA
Sra. Ana Lívia Aragão,341.708.526-80,33,1991-06-13,"chácara lucas gabriel câmara, 8
ermelinda
05526860 aragão da praia / se",PARAÍBA
Dr. Paulo Jesus,168.032.579-59,34,1990-02-21,"distrito maria dias, 38
vila engenho nogueira
39843820 vasconcelos / df",SÃO PAULO
Theo Aragão,507.428.639-56,29,1995-02-14,"distrito nascimento, 33
flamengo
48818183 sampaio / ac",SANTA CATARINA
Maria Liz Porto,241.970.368-50,26,1998-02-06,"vila isis melo, 272
boa viagem
38757-557 ferreira / pi",MATO GROSSO
Sr. Daniel Da Paz,832.609.714-40,33,1991-05-01,"colônia de freitas, 257
santa monica
85887-549 peixoto / ba",AMAPÁ
Mateus Da Mota,631.784.025-35,51,1973-03-18,"trecho de brito, 94
tiradentes
60414-856 novaes verde / ms",PERNAMBUCO
Luan Teixeira,376.482.501-44,29,1994-08-20,"chácara de pacheco, 661
braúnas
44262-758 da costa / ac",PERNAMBUCO
Ravy Lima,327.468.190-31,49,1974-09-13,"chácara ana júlia aragão
santa sofia
20245-889 moraes da mata / es",MARANHÃO
Asafe Siqueira,034.976.821-87,50,1973-12-28,"jardim da costa, 75
padre eustáquio
81128598 novaes / pr",AMAZONAS
Dr. Lucca Garcia,925.816.470-94,53,1971-02-16,"condomínio théo da mota, 30
biquinhas
24075089 barbosa grande / df",MARANHÃO
Ana Cecília Pastor,254.831.976-82,50,1974-02-16,"condomínio nunes, 8
concórdia
36378-772 dias / sc",RORAIMA
Sr. Matteo Cassiano,562.903.417-07,26,1998-04-14,"passarela da conceição, 3
belvedere
94921767 macedo / df",ESPÍRITO SANTO
Isabelly Guerra,713.924.560-61,39,1985-02-23,"passarela de cardoso, 829
vista alegre
45421-700 câmara / am",ESPÍRITO SANTO
Felipe Rodrigues,327.051.498-05,19,2005-08-09,"vale de aragão
jardim américa
66774-640 pastor da mata / am",ACRE
Daniel Ramos,305.861.297-40,42,1982-05-09,"lagoa brito, 94
vila maloca
39498304 gonçalves / sp",GOIÁS
Valentim Viana,089.721.546-01,26,1997-09-23,"sítio da mata, 12
grota
83855-734 fogaça / rj",RONDÔNIA
Melina Freitas,246.518.709-02,41,1983-01-08,"viaduto da cunha, 340
santa branca
81953-646 andrade de da rocha / ms",SERGIPE
Davi Lucas Pires,789.503.264-00,59,1965-05-18,"aeroporto araújo, 46
dom joaquim
18379-807 machado / ms",ACRE
Nathan Cassiano,625.417.938-55,39,1985-02-25,"passarela de oliveira, 3
vila barragem santa lúcia
37898175 ferreira / sp",RIO GRANDE DO SUL
Stella Dias,267.054.983-74,26,1997-09-25,"quadra isabella macedo
vila aeroporto jaraguá
52542-526 macedo / ce",PARANÁ
Ana Beatriz Pastor,230.185.796-40,54,1970-03-02,"estrada otto lima, 85
nova vista
57374294 fonseca / rr",SANTA CATARINA
Theo Novais,291.734.865-82,51,1973-07-07,"setor sampaio, 21
vila piratininga
19128-635 viana alegre / ro",RIO GRANDE DO NORTE
Dr. Vinicius Macedo,130.745.829-79,44,1979-08-17,"lagoa cavalcanti, 83
pantanal
27683562 moraes verde / rs",MATO GROSSO DO SUL
Liz Da Rosa,376.928.451-82,40,1984-05-21,"favela gonçalves, 2
vila real 1ª seção
53954-731 leão das flores / go",SANTA CATARINA
Rafaela Rezende,384.561.027-17,27,1997-07-31,"alameda cavalcanti, 54
vila união
04817-957 peixoto / se",SERGIPE
Josué Azevedo,726.540.931-07,46,1977-10-04,"aeroporto sampaio, 927
paquetá
85313-457 costela do amparo / sp",MINAS GERAIS
Sra. Maria Vitória Nunes,053.467.291-43,48,1976-05-17,"setor de nascimento, 18
virgínia
86150-631 cavalcante paulista / rr",PIAUÍ
Bárbara Viana,049.327.856-74,57,1966-12-12,"vila evelyn costela, 92
vila atila de paiva
85671098 caldeira alegre / se",ALAGOAS
Cauã Sousa,867.524.319-73,45,1978-12-01,"parque lunna machado, 49
custodinha
39829242 farias / sp",ALAGOAS
Caleb Da Luz,382.495.016-24,33,1991-06-09,"esplanada da conceição, 24
são jorge 1ª seção
66933374 martins / go",RIO GRANDE DO SUL
Joana Macedo,047.958.631-48,55,1969-08-08,Endereço não informado,Desconhecido
Pedro Lucas Câmara,154.287.963-91,26,1997-10-09,"parque de da mata, 72
garças
21538-847 ribeiro paulista / ce",RIO GRANDE DO NORTE
Sra. Ana Beatriz Da Cruz,059.741.683-48,37,1987-01-15,"distrito de pereira
lagoinha leblon
32654658 rios do oeste / rn",GOIÁS
Gabrielly Leão,230.679.458-83,29,1995-03-05,"campo de albuquerque, 277
pilar
20726589 abreu / pr",ACRE
Sr. Enzo Cunha,358.691.702-30,50,1973-10-12,"área da luz, 50
são bernardo
42061-844 guerra / mg",RIO GRANDE DO NORTE
Hadassa Novais,489.210.367-50,20,2003-08-17,"setor de mendes, 15
vila são paulo
60007355 monteiro de leão / rn",TOCANTINS
Brenda Nogueira,690.275.348-29,37,1987-01-15,"vereda maria eduarda câmara, 83
monsenhor messias
02154221 borges verde / ba",GOIÁS
Isadora Guerra,709.634.852-29,32,1991-11-13,"loteamento ana carolina da paz, 95
são pedro
63608-208 porto grande / pi",GOIÁS
Stephany Barros,306.429.871-22,33,1991-01-22,"viela albuquerque, 314
são joão batista
58289-881 moreira do campo / es",PIAUÍ
Otávio Gomes,380.249.675-29,24,2000-05-01,"vereda de nunes, 35
graça
91646544 siqueira verde / sc",PARÁ
Henrique Cavalcanti,271.894.536-28,55,1969-06-02,"núcleo cirino, 925
são joão batista
21120-306 pacheco de teixeira / ac",PARAÍBA
Ayla Pinto,931.204.685-33,51,1973-03-05,"residencial benício correia, 2
vila santo antônio
21883219 peixoto de minas / to",SERGIPE
Larissa Macedo,109.685.247-02,55,1969-08-14,"passarela allana casa grande, 527
jaqueline
17323869 souza paulista / ac",AMAZONAS
Rafael Da Mata,792.036.458-29,58,1966-01-02,"morro davi miguel cunha, 80
vila fumec
96423332 da rosa / df",RONDÔNIA
Otávio Nunes,749.258.061-49,48,1976-02-28,"distrito de campos, 61
goiania
41397619 cirino de goiás / rj",MINAS GERAIS
Maria Sophia Carvalho,870.234.615-07,27,1997-02-12,"esplanada de correia, 23
barão homem de melo 1ª seção
36718275 albuquerque / ma",ESPÍRITO SANTO
João Miguel Aparecida,825.964.071-67,28,1996-04-21,"ladeira de dias, 90
santo agostinho
45636-378 vargas da mata / rj",SANTA CATARINA
Caio Marques,732.819.540-14,24,2000-03-06,"distrito cecília monteiro, 73
jardim leblon
62023895 siqueira / se",GOIÁS
Agatha Santos,287.569.014-02,28,1995-10-06,"feira rafael peixoto, 7
são damião
62777490 borges da mata / df",ALAGOAS
Benicio Vasconcelos,901.825.374-04,50,1973-11-05,"parque almeida, 32
vila engenho nogueira
04031046 mendonça / ap",MARANHÃO
Juan Farias,459.683.712-00,35,1988-09-02,"via souza, 61
mariquinhas
49971396 andrade / ro",ACRE
Clarice Nascimento,625.049.871-02,44,1980-02-21,"vila de castro, 90
conjunto jardim filadélfia
59951-241 duarte / ba",RIO GRANDE DO NORTE
Gabriel Rios,796.431.502-16,49,1975-03-02,"avenida de da rocha, 17
são lucas
83925-544 pires de casa grande / rs",PERNAMBUCO
Juan Camargo,071.284.395-79,28,1996-05-06,"praia isabelly pacheco, 26
monte azul
30850402 pimenta das pedras / to",MARANHÃO
Rafaela Pimenta,647.193.850-01,44,1979-08-27,"vereda sarah nunes, 311
grotinha
97602984 guerra do amparo / mt",SERGIPE
Luigi Ramos,952.368.170-21,51,1972-11-02,"via de câmara
sagrada família
03252232 oliveira das flores / rj",AMAPÁ
Ana Júlia Vargas,597.384.160-00,34,1990-03-07,"colônia casa grande, 16
leticia
92617132 teixeira / sp",PIAUÍ
Raul Casa Grande,394.657.820-92,53,1970-09-25,"viela de da conceição
cabana do pai tomás
39628384 jesus / pe",PERNAMBUCO
Maitê Da Rocha,657.190.382-21,54,1970-03-20,"vale cecilia dias, 58
parque são pedro
47379-896 nascimento / rn",PERNAMBUCO
Marcela Cirino,614.502.398-89,20,2004-07-24,"conjunto da cunha
santa lúcia
38370479 almeida de gonçalves / rn",CEARÁ
Ana Júlia Souza,268.350.914-60,41,1983-01-06,"residencial de da mota, 24
capitão eduardo
37521939 da mota do amparo / to",ACRE
Lucas Gabriel Andrade,467.289.351-00,49,1975-04-30,"vale fonseca, 1
nova suíça
32075392 azevedo do oeste / pe",ESPÍRITO SANTO
Leonardo Nunes,801.376.924-04,44,1980-07-16,"colônia de novaes
ernesto nascimento
14036-464 da rocha das flores / pi",RORAIMA
Dra. Kamilly Pacheco,460.823.971-69,29,1995-05-02,"jardim isis almeida, 37
chácara leonina
38842688 gonçalves paulista / df",RONDÔNIA
Raul Lima,310.456.927-43,36,1988-04-25,"sítio eloah abreu, 27
gameleira
27100-203 peixoto da mata / al",SANTA CATARINA
Bento Siqueira,930.521.647-16,32,1992-06-01,"colônia de sampaio, 16
horto
68299191 sousa das flores / ba",RIO GRANDE DO SUL
Allana Porto,741.386.029-50,25,1999-07-15,"recanto kamilly moreira, 16
caetano furquim
72935716 ferreira / ac",ALAGOAS
Carlos Eduardo Castro,925.160.437-16,42,1982-03-10,"praça da mota
flamengo
81054640 costa de nunes / se",AMAZONAS
Caio Gonçalves,359.026.871-95,31,1993-05-15,"feira duarte, 5
varzea da palma
27436176 guerra / ro",AMAPÁ
Ana Sophia Porto,806.537.241-44,30,1994-07-10,"residencial paulo cunha
santa terezinha
92780245 costela alegre / pa",SANTA CATARINA
Raquel Araújo,384.069.271-78,39,1985-07-05,"ladeira ana julia gonçalves, 94
madre gertrudes
03579567 marques de minas / al",SÃO PAULO
Dr. Luiz Fernando Mendes,513.807.624-80,49,1975-03-08,"área jesus, 7
carmo
38062652 jesus da mata / es",MARANHÃO
Josué Rocha,402.368.795-29,46,1978-07-12,"colônia cirino, 63
jardim vitoria
33184152 castro de goiás / pb",ACRE
Mariane Aragão,519.047.682-02,19,2004-10-23,"núcleo de rocha
álvaro camargos
93582-916 abreu de silveira / pi",RORAIMA
Mathias Pastor,628.501.973-86,57,1967-04-13,"lagoa isaac fogaça, 9
vila fumec
98224-574 ribeiro / ap",DISTRITO FEDERAL
Laura Nascimento,389.752.146-64,25,1999-03-25,"passarela da cruz, 3
madri
73821-391 martins / pi",RORAIMA
Dr. Alexandre Cirino,541.096.728-30,30,1993-12-14,"recanto fonseca, 2
vila califórnia
35758-515 novaes / rr",ESPÍRITO SANTO
Esther Fogaça,961.248.507-02,59,1965-02-06,"trecho de aragão
vila da amizade
02692933 abreu / mg",RIO GRANDE DO NORTE
Alícia Cardoso,240.859.631-98,33,1991-04-04,"praia esther da costa, 42
liberdade
55739-455 montenegro / se",GOIÁS
Lucas Da Rosa,187.046.592-01,60,1963-09-26,"esplanada de da mata, 9
aguas claras
62824120 marques verde / se",RIO DE JANEIRO
Maria Da Luz,724.953.801-23,22,2001-09-23,"parque lorenzo moura, 32
santana do cafezal
90764-087 da rocha das flores / sp",PARANÁ
Gustavo Henrique Barros,503.982.164-60,43,1981-01-26,"pátio costa, 37
joão paulo ii
81429-504 borges / pi",PARANÁ
João Lucas Lopes,812.460.357-07,19,2004-08-27,"trecho de nascimento, 295
vila formosa
21858-500 da mata da praia / se",ACRE
Ana Beatriz Machado,273.491.506-52,21,2003-06-05,"núcleo porto
laranjeiras
66885-115 silva da prata / pr",MARANHÃO
Felipe Da Rocha,834.952.107-41,30,1993-09-27,"estrada cavalcanti, 36
vila rica
72940-196 rocha das pedras / go",DISTRITO FEDERAL
Diogo Lopes,594.236.801-51,24,2000-03-09,"favela de moraes, 8
beira linha
00241878 freitas / se",PIAUÍ
